Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C16, C18, C2, C21, C22, C23, C25, C3, C4, C5, C8",0402,14,100nF,C307331
"C10, C15, C19",1206,3,47uF,C96123
"C12, C14, C17, C20, C26, C6, C9",0603,7,10uF,C96446
C24,0402,1,47pF,C1567
C7,0402,1,1pF,C72134
"D1, D4, D5, D6, D7",D_SOD-523,5,ESD5Z5.0,C5199848
D2,0603,1,RED,C2286
D3,SOT-23-6,1,SRV05-4-P-T7,C85364
FB1,0603,1,FerriteBead,C1002
J1,FRAMATOME_10118194-0001LF_fixed_bridges,1,10118194-0001LF,C132563
L1,0402,1,10nH,C382409
R1,0402,1,4k7,C25900
"R10, R9",0402,2,10k,C25744
R11,0402,1,15k,C25756
"R2, R4, R7, R8",0402,4,1k,C11702
R3,0402,1,22k,C25768
"R5, R6",0402,2,470,C25117
"SW1, SW2, SW3",SW_TACTILE_5.1MM_TS-1187A-C-D-B,3,SW_Push,C318884
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G070KBTx,C529339
U2,RFM69HCW-minimalpads,1,RFM69HCW,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340X,C3035748
U4,LED-SMD_4P-L2.0-W1.8_CY-0807,1,XL-0807RGBC-WS2812B,
U5,SOT-23-3,1,XC6206P332MR-G,C5446
U6,SMD-2P_L2.9-W2.4_C9900033648,1,HX 1210-C06,C42371120
